,First Round,Second Round,Conf Finals,Finals,Champions
Boston Celtics,1.0,0.8927,0.6532,0.4722,0.2992
Oklahoma City Thunder,0.9997,0.752,0.4491,0.2572,0.1369
Minnesota Timberwolves,0.9998,0.7427,0.4369,0.2457,0.1293
Los Angeles Clippers,0.9993,0.7124,0.3838,0.1992,0.0991
Denver Nuggets,0.9993,0.6976,0.3651,0.1824,0.0909
Milwaukee Bucks,0.9954,0.6358,0.31,0.1423,0.0605
Cleveland Cavaliers,0.9993,0.6554,0.3426,0.14,0.0579
New York Knicks,0.9966,0.6118,0.2839,0.1142,0.0461
Philadelphia 76ers,0.9848,0.4965,0.1984,0.0805,0.032
Phoenix Suns,0.8267,0.2709,0.1008,0.0359,0.0116
Sacramento Kings,0.8422,0.2622,0.092,0.0321,0.0106
New Orleans Pelicans,0.8765,0.2692,0.0889,0.0274,0.0094
Indiana Pacers,0.9192,0.2836,0.0936,0.0261,0.007
Dallas Mavericks,0.6545,0.1458,0.0442,0.0107,0.0029
Miami Heat,0.8201,0.2047,0.0603,0.0133,0.0028
Orlando Magic,0.8396,0.1912,0.0537,0.011,0.0023
Los Angeles Lakers,0.4665,0.1029,0.0306,0.0085,0.0013
Utah Jazz,0.2029,0.0308,0.0068,0.0008,0.0001
Chicago Bulls,0.2378,0.017,0.0031,0.0003,0.0001
Golden State Warriors,0.0906,0.0091,0.0015,0.0001,0.0
Atlanta Hawks,0.1527,0.0097,0.0011,0.0001,0.0
Houston Rockets,0.042,0.0044,0.0003,0.0,0.0
Brooklyn Nets,0.0526,0.0016,0.0001,0.0,0.0
Toronto Raptors,0.0019,0.0,0.0,0.0,0.0
Memphis Grizzlies,0.0,0.0,0.0,0.0,0.0
Portland Trail Blazers,0.0,0.0,0.0,0.0,0.0
Charlotte Hornets,0.0,0.0,0.0,0.0,0.0
San Antonio Spurs,0.0,0.0,0.0,0.0,0.0
Washington Wizards,0.0,0.0,0.0,0.0,0.0
Detroit Pistons,0.0,0.0,0.0,0.0,0.0
